condition,topic,title,basic,advanced,resources,contacts,examples
,Structure,Structure the content consistently,Make sure that your title hierarchy is consistent. This includes deciding which titles contain actual information and which only serve as structuring elements.,"If you need support in putting together your manuscript, consider using the editorial support services of the Publications Office. The support offered at the conceptual development stage includes:  identifying and articulating the objectives of your future publication, along with its key message, target audience and intended impact; choosing the optimal format and structure; establishing a robust promotion strategy.","85,111",81,
,Structure,Provide visualisations that help the reader orient themselves in the publication,Such a visualisation – usually in the form of a diagram – shows the main chapters or topics of the publication and how they relate to one another.,"A further diagram can be used to provide an overview over other, related publications.",,,22
2A || 3B,Structure,Provide a section that introduces the data used in the publication,"This section or chapter describes the content of the data, what it can and cannot measure and the methodology used to collect and process the data. This section might also provide a link to the main datasets or database.",Present the metadata of the main dataset in a table or typographic layout. Consider differentiating between basic and more advanced metadata information.,,,18
,Structure,"Provide a reference list, a figure and a table list, a list of abbreviations, and a glossary","Some of these sections might be mandated by your organization. Nonetheless, it is good to consider if a section is missing, especially if it benefits the readers of this particular publication. ","Provide a section that collects all the figures from the publication and their meta data (e.g., title, source, author, etc.)",,,"24,29"
3A || 3B,Structure,Use text and visual elements in a way that enables a good reading flow,Maintain a balance between the amount of text and the amount of visualisations. There should always be more or less the same number of paragraphs between each visualisation.,"Try to keep text and visualisations that refer to each other as close as possible. Ideally, a paragraph introduces the visualisation, then the visualisation is presented, followed by another paragraph that describes additional details of the data. ",,,"25,26"
16B,Design and Style,Consider creating a style guide specific to your organization,The Interinstitutional Style Guide is very broad and is focused mostly on publication structure and on writing rules. An organisation style guide can refine some of the general guidelines and specifiy additional rules for the visual style and tone of voice used in your communcations. ,,"102,103,96,101",,"10,11"
16C,Design and Style,Find out if your institution has it's own style guide,Talk with your communications officer to find out if and what kind of style guide your organisation has. ,,"102,103,96,101",,"10,11"
16A && !17A,Design and Style,Consider extending your style guide with a section on visual styles,"A section on visual styles defines the visual appearance of all your communciation material. This includes fonts (also font weights and sizes) and colors. It can also include publication layouts, the style of user interface elements, and guidelines on how to use the logo. ",,"102,103",,"10,11"
16A && !17B,Design and Style,Consider extending your style guide with a section on data visualization design ,"A section on visualisation style defines font sizes and color palettes for data visualisation. Color palettes for data visualisation are different from normal brand colors in that they include color ramps, a set of categorical colors and multiples shades of each color for highlights. The guide can also define the design of visualisation details like the weight of the lines used in charts or the style of the chart axes. ",,"101,106",,"15,16,18"
16A && !17C,Design and Style,Consider extending your style guide with a section on content design,"A section on content design defines different types of texts used in your organisation, the tone in which you address the reader, the way you handle abbreviations, and your vocabularies.",,96,,"12,13,14"
16A && !17D,Design and Style,Consider extending your style guide with a section on data citation,,,117,,
16A,Design and Style,Make sure your visual style guides consider accessibility,"In particular, check if you are using reasonably large font sizes (a minimum of around 16px for online and 12pt for print for body text, depending on the font) and if your font colors have a high contrast to the background. ",,"88,105",,
16A,Design and Style,Make sure your data visualisation guides consider accessibility,"Accessible data visualizations don't rely on color alone to encode information, provide alternative text that describes the visualisation, and label and annoate the visualisation directly. They also uses colors that have enough contrast to the background, are clearly distinguishable from each other, and account for different types of color blindness.  ",,"98,99,100,104,77",79,"17,19"
16A,Design and Style,Make sure your writing style guides consider accessbility,"Writing guidelines that consider accessibility include guidance on using simple, concise language, using headings to convey meaning and structure, making link text meaningful, and on writing text alternatives and captions for mulimedia content.",,"97,121",,20
16A,Design and Style,Make sure your style guide includes guidelines on data citation,,,117,,
,Text,Write for the web,"Whether you are producing a PDF or a web-based publication, chances are your content will be read online on a range of devices, from large desktop screens to small mobile screens. To ensure a pleasant reading experience, it is important to create clear visual hierarchies, write in sentences that are short and concise, and break up your content into short paragraphs.","Use the ""inverted pyriamid"" structure for you texts. In this story structure, the most important information is presented first and followed up with increasingly less important information. ","93,94,95,107",,27
,Text,Write in plain language ,"To ensure your text is comprehendable, use plain language. This means, knowing your audience and knowing which terms your audience understands, using short terms and paragraphs and aiming for a 10 to 12th grade reading level. ",,"88,89,125,126",,27
,Text,Avoid repetition,"Especially if the publication is written by multiple authors, repetitions are prone to happen. Ensure that there are no unnessecary repetitions by having an person in your project team who does not write themselves but acts as editor to the whole publication. ",,,,
3A,Visualisation,Always cite the data source ,"Whether it is your own data or data from a third-party, always clearly identify the source of the data that was used to create the visualisation. As your visualisations might be reused in different contexts, it is best to cite the source with each chart. If possible, add a link that leads directly to that data set or to information on that data set. ","Be consistent in the way you cite the data source. For example, you might decide to consistently use the name of the data owner and a link to the page that describes that data set.

In a comparative report, provide the source for each data value. ",,,
3A && 9B,Visualisation,Make sure to explicitly state that you cannot be reused ,,,,,
3A && 9C,Visualisation,Check if it can be reused,,,,,
3A && 9C,Visualisation,State reuse licence,,,,,
3A && 9A && 12A,Visualisation,Provide your visualisations as downloads,"Provide an image (best format: PNG) of the visualisation for people to download and reuse. This image should contain metadata about the visualisation, e.g. which institution created it, the year, and link to the data behind it.","If you want the user to be able to edit the visualisation provide an open, vector-based format such as an SVG in addition to the closed, pixel-based formats such as PNGs and JPEGs.

You might also want to offer different aspect ratios, such as a 16:9 ratio for presentations and a 1:1 ratio for social media. 

Users might want to download all the visualisations and visualised tables from the report at once. Provide a link to a zip-file with all files in different formats. ",,,
3A && 5D && 9A && 12A,Visualisation,Provide the visualisations as downloads,"Provide an image (a PNG or a JPEG) of the visualisation for people to download and reuse. This image should include metadata about the visualisation, e.g. which institution created it, the year, and link to the data behind it.","If you want the user to be able to edit the visualisation provide an open, vector-based format such as an SVG in addition to the closed, pixel-based formats such as PNGs and JPEGs.

You might also want to offer different aspect ratios, such as a 16:9 ratio for presentations and a 1:1 ratio for social media. 

Users might want to download all the visualisations and visualised tables from the report at once. Provide a link to a zip-file with all files in different formats. 

Make it possible to download the visualisation as it was filtered, sorted, and re-styled by the user: If the visualisation is interactive, the user might want to download the chart as they re-styled it, for example to use in a presentation or to post on social media.",,,
3A && 9A && 12B,Visualisation,Find out where you can store your visualisations ,Talk with your IT-department to find out where visualisation files are stored in your organisation.,,,,
3A && 9A && 12C,Visualisation,Find out about your institution's file management strategy,"Talk with your IT-department to find out how visualisation files might be managed in your organisation, i.e. where files are stored and how they are stored. ",,,,
3A && 5D,Visualisation,Decide the level of interactivity for each chart,"Many online charting tools come with integrated, default interactive features and sometimes also animations. These features do not always contribute to the legibility of the visualisations. It's always better to provide static, legible visualisations than distracting interactions that don't serve a purpose. ",,,,
3A && 5D,Visualisation,Provide interactive chart functionalities,Provide options to change the data displayed in the visualisation and to sort and filter that data. ,Provide options to change how the visualisation looks. The user might choose from different color palettes or change which data points are the highlighted.,,,
3A && 5D,Visualisation,Create visualisation designs for different screen sizes,"Increasingly, content is consumed on smaller screens, i.e. mobile devices. This means that online content needs to responsively adjust to the screen size the reader is using. Data visualisations are no exception: They need to be designed for at least two different screen sizes (mobile and desktop) so that they remain legible across devices or be designed in a way that they responsively adjust to the width of the screen. ",,,,
3A && 5D,Visualisation,Provide options to reuse your visualisation on the web,Provide an embed code for the visualisation so that users can add your chart to their websites. An embed code is a short script that can be copied and pasted into the code of another website. ,"Provide options to share the visualisation through share buttons. These allow people to share the visualisation directly on common social media platforms, e.g. instagram, twitter, facebook. 
",,,
(3A || 2A) && (7A || 8A),Data,Follow open data practices in preparing your data,"Open data practices include using a machine-readable and non-proprierty file format, such as CSV or JSON.","Consider applying FAIR principles (findable, accessible, interoperable, reusable).",,,
(3A || 2A) && (7A || 8A),Data,Use the right license for your data,"The EC adopted the Creative Commons Attribution 4.0 International license (CC-BY 4.0) license as a default reuse instrument. This license allows users to ""copy, modify and distribute data in any format for any purpose, including commercial use. Users are only obligated to give appropriate credit (attribution) and indicate if they have made any changes, including translations."" (Worldbank, 2020)

Make sure to clearly state the license of your data in your publication. ",Consider licences in the contract clauses while externalising data collection. In case of doubts consult the Copyright team of the Publications Office or the Central Intellectual Property service of the European Commission.,,,
(3A || 2A) && (7A || 8A),Data,Describe your data in a standardized way,"For people to be able to find and understand how your data was collectd, it's important to describe the most important aspects of your data. These descriptions are standardized to ensure compatibility. For metadata description use DCAT-AP (the Data Catalog Vocabulary of the EU), the Eurovoc thesaurus and EU reference data. ",,,,
(3A || 2A) && (7A || 8A),Data,Make sure that you provide enough documentation to your data,"It is important to ensure that users can work with the data. The data documentation should include everything the user needs to know to work with the data, such as methodology, defintions, time ranges, and descriptions of the rows and columns. The documentation can be saved in a separate sheet in the Excel file that contains the actual data or be provided in a separate file. ",,,,
(3A || 2A) && (7C || 8C),Data,Find out if you can provide your data as open data,Follow Commission Decision of 12 December 2011 on the reuse of Commission documents  2011/833/EU,Check data protection (GDPR/EUDPR) and licencing. In case of doubts contact your respective Local Data Correspondent ,,,
(3A || 2A) && (7A || 8A) && 11A,Data,Provide access to the data (for humans and machines),"Provide download or query possibility for your data. Link to the data from your publication. Be sure to maintain access to and curate those links to the data, i.e. ensure that the links are not broken. ","Make it possible to download different parts of your data. This can include, the entire database, single datasets, and the data that is used in the visualisations (which has often been re-formated and aggregated for the visualisation).  This allows different types of users to reuse your data efficiently. ",,,
(3A || 2A) && (7A || 8A) && 11A,Data,Consider providing an API (Application Programming Interface) to the data,"It allows for automatic, systematic and customised acquistion of data and linking them to other applications or databases",Consider it especially for high value datasets. It's important to provide documentation of the API,,,
(3A || 2A) && (7A || 8A) && 11B,Data,Find out where you can store your data ,Consider solutions available in your service or DIGIT. In case of doubt consult your Local Data Correspondent,Consider the whole life-cycle of data including archiving policy of your DG and long time preservation ,,,
(3A || 2A) && (7A || 8A) && 11C,Data,Learn about your institution's data management strategy,"Talk with your data governance or IT-department to find out how data might be managed in your organisation, i.e. where data is stored and how it is stored. ",,,,
6A && (7B || 8B) || (7C || 8C),Publishing,Consider publishing the data in your organisation's internal data catalogue (e.g. EC data catalogue),"Even if the data cannot be released as open data, it is good practice to catalgue your data – either for internal or restricted public use. In case an internal data catalogue doesn't exist start with creating an inventory of your data.","Data inventory and catalogue should use recommended standards (e.g. DCAT-AP, the data catalogue vocabulary for data portals in Europe)","24,21,9",18,
6A && (7A || 8A),Publishing,Publish your datasets on data.europa.eu and your publications on OP portal,"Use DemPub to introduce your request for publishing. Make sure to also include a request for data identifiers. By doing that the OP will ensure that you get unique identifiers for your publication and for your data. Your publication will be included in the EU publications catalogue, while your data will be included in the data.europa.eu catalogue.",,84,80,
6B && (7A || 8A) || (7C || 8C),Publishing,Consider aquiring identifiers through the Publications Office both for your data and for your publication,"Even if you are not using the OP to publish your publication, you can still use OP services to get a unique identifier. Use DemPub to make an identifiers only request. ",,84,80,
6B && (7B || 8B),Publishing,Consider aquiring identifiers through the Publications Office for your publication,"Even if you are not using the OP to publish your publication, you can still use OP services to get a unique identifier. Use DemPub to make an identifiers only request. ",,84,80,
6C,Publishing,Consider publishing with the Publications Office ,"The OP offers various additional and many free services related to publications and data. You may consult the online catalogue of OP services (PubliCare), and then request the ones you need using the platform DemPub.",,"83,84",80,
