id,include,topic,type,title,description,link,
1,YY,Copyright,KB-i,Reuse Guidelines,"Reuse Guidelines - Using Creative Common licences for the distribution and reuse of Commission documents (EC Central Intelectual Property Service, 2019 edition)",https://myintracomm.ec.europa.eu/corp/intellectual-property/Documents/2019_Reuse-guidelines(CC-BY).pdf  ,
2,M,Copyright,KB-x,CC wiki page,Considerations for licensors and licensees (on the wiki of CC),https://wiki.creativecommons.org/wiki/Considerations_for_licensors_and_licensees,
3,YY,Copyright,KB-x,Reuser's Guide to Open Data Licensing,"Free guide to open data licensing, by the ODI (Open Data Institute)",https://theodi.org/article/reusers-guide-to-open-data-licensing/,
4,Y,Copyright,KB-x,Why do we need to license open data?,eLearning module on data.europa.eu,https://data.europa.eu/elearning/en/module4/#/id/co-01,
5,YY,Copyright,R,Copyright team in OP,,OP-COPYRIGHT@publications.europa.eu,
6,M,Copyright,R,EC Central IP Service,,ec-ipr@ec.europa.eu,
7,M,Copyright,S,CC license chooser,Online wizard guiding you through the steps of selecting the appropriate license for your work,https://chooser-beta.creativecommons.org/,
8,Y,Copyright,S,EURECA,"A collaborative platform designed to help Commission staff to identify, find and manage intellectual property (IP) resources across the organisation",https://apps.jrc.cec.eu.int/eureca/screen/my-dashboard?ticket=ST-25415426-fLJpbOFQdiB47DxzHLwwvMAc1PuVZ7K3y1rvOILlRMB0t0EyjtX9eflNzHDdg2PLgntip8Ajlc9KFNvQdzHCzl4-rS0vSrmBGYCCPIEzYRVMOx-rPIkwcKegSqCF6RPpPDRQRF5eVBdsQ8DurclysBmCyE8oj7UxfDpyDa4uunNLtLyq7RJB1JNfOJwtLSvVw5gyG,
9,YY,Data management,KB-i,EC data advisory request guidelines,What to consider before/when asking the EC data advisory for their services,https://webgate.ec.europa.eu/fpfis/wikis/display/DataAdvisory/Ask+the+data+advisory,
10,M,Data management,KB-i,Work programme 2020-2021,"Data, information and knowledge management at the European Commission",https://myintracomm.ec.europa.eu/sg/info-management/Documents/work-programme-2020-21.pdf,
11,Y,Data management,KB-i,Data learning package,Learning package structured around different personas that need to understand data science. The individual parts are recommended for different personas - the user can filter the training based on their profile,https://eceuropaeu.sharepoint.com/sites/GRP-Learningpackages/datascience_LP,
